DOEID,MULTSTV,MICRO,TOASTER,COFFEE,NUMFRIG,CWASHER,WASHLOAD,DRYER,NUMCFAN,TVCOLOR,BIGTV,DVD,PLAYSTA,TVONWD,TVONWE,STEREO,NUMPC,LAPTOPPC,PCTYPE1,PCPRINT,AIRCOND,LGT12,NOUTLGTNT,DOLLAREL
96,0,1,0,1,1,1,2,1,3,4,0,0,1,3,3,0,0,0,0,0,1,1,0,2607
97,0,1,0,1,2,1,1,1,5,5,1,1,0,3,3,1,2,1,1,1,1,2,3,1937
98,0,1,0,0,1,1,2,1,0,4,0,2,1,4,4,1,1,0,1,0,0,0,0,905
99,0,1,0,0,1,1,2,0,1,4,0,0,0,4,4,0,0,0,0,0,1,2,0,791
100,0,1,1,0,1,1,4,1,4,4,0,1,1,2,2,1,3,1,1,1,1,0,0,943
101,0,1,0,1,2,1,3,1,0,2,0,1,0,2,1,1,1,1,2,0,1,0,0,646
102,0,1,1,1,1,1,3,1,3,3,0,1,1,2,2,1,2,0,1,1,1,0,0,1431
103,0,1,0,1,2,1,2,1,4,2,0,1,1,3,3,1,1,0,1,1,1,3,3,2242
104,0,1,0,1,1,1,3,1,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,571
105,1,1,0,1,1,1,5,1,7,4,0,1,1,3,3,1,1,0,1,0,1,0,0,1891
106,0,1,0,0,1,1,3,1,0,4,0,3,1,3,3,1,1,0,1,1,1,2,1,481
107,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,413
108,0,1,0,1,2,1,3,1,1,2,1,1,1,4,4,1,1,0,1,1,1,0,2,2181
109,0,0,0,1,1,1,2,1,6,2,1,1,0,3,3,0,0,0,0,0,0,0,0,351
110,0,1,0,1,2,1,3,1,4,1,0,1,0,2,2,1,2,0,1,1,1,0,1,826
111,0,1,0,1,3,1,3,1,8,4,0,3,0,2,2,1,2,1,1,1,1,0,2,1299
112,0,0,0,0,1,1,1,1,1,1,0,1,0,2,1,1,0,0,0,0,1,1,1,236
113,0,1,1,1,1,1,2,1,3,2,0,0,0,3,3,0,0,0,0,0,1,0,0,700
114,0,1,1,1,3,1,3,1,0,3,0,2,0,2,1,1,3,1,1,1,0,2,0,1185
115,0,1,0,1,2,1,3,1,4,5,0,1,0,3,3,1,2,0,1,1,1,0,3,857
116,0,1,0,1,1,1,2,0,1,2,0,1,0,2,2,0,0,0,0,0,1,0,0,293
117,0,1,0,0,1,1,2,1,0,1,1,1,0,3,3,1,0,0,0,0,1,0,0,1348
118,0,1,1,0,1,1,3,1,0,2,0,1,0,2,2,1,2,1,1,1,0,0,0,1323
